
query 1: retrieve all 'fashion' products with attributes
product: Sleek Sneakers 236, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Industrial Dress 989, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Premium Jacket 988, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Men'}
product: Heavy-duty Jacket 355, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Women'}
product: Sleek Sneakers 212, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Vintage T-Shirt 751, attributes: {'material': 'Polyester', 'style': 'Streetwear', 'gender': 'Men'}
product: Minimalist Dress 449, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Women'}
product: Pro Dress 527, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Women'}
product: Compact T-Shirt 270, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Men'}
product: Industrial Sneakers 334, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Women'}
product: Futuristic Sneakers 161, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Women'}
product: Vintage Jacket 482, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Women'}
product: Ultra-light Jeans 407, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Women'}
product: Retro T-Shirt 495, attributes: {'material': 'Polyester', 'style': 'Athleisure', 'gender': 'Men'}
product: Minimalist Dress 114, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Women'}
product: Futuristic Dress 532, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Unisex'}
product: Retro Watch 155, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Women'}
product: Compact T-Shirt 320, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Women'}
product: Eco-friendly Jeans 522, attributes: {'material': 'Wool', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Durable T-Shirt 690, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Women'}
product: Durable Jacket 272, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Women'}
product: Futuristic Jeans 236, attributes: {'material': 'Cotton', 'style': 'Casual', 'gender': 'Men'}
product: Industrial Jacket 503, attributes: {'material': 'Leather', 'style': 'Streetwear', 'gender': 'Men'}
product: Sleek Sneakers 727, attributes: {'material': 'Wool', 'style': 'Streetwear', 'gender': 'Women'}
product: Compact Dress 701, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Unisex'}
product: Futuristic Dress 809, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Women'}
product: Organic Dress 813, attributes: {'material': 'Cotton', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Premium Jacket 388, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Men'}
product: Ultra-light Watch 262, attributes: {'material': 'Cotton', 'style': 'Formal', 'gender': 'Men'}
product: Organic Sneakers 282, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Women'}
product: Sleek Dress 147, attributes: {'material': 'Wool', 'style': 'Athleisure', 'gender': 'Men'}
product: Handcrafted Sneakers 599, attributes: {'material': 'Wool', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Minimalist T-Shirt 652, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Men'}
product: Sleek Dress 249, attributes: {'material': 'Leather', 'style': 'Streetwear', 'gender': 'Men'}
product: Compact Sneakers 666, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Women'}
product: Minimalist Jeans 743, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Men'}
product: Industrial Dress 524, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Women'}
product: Urban Jacket 782, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Women'}
product: Minimalist Dress 169, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Men'}
product: Vintage Jacket 935, attributes: {'material': 'Leather', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Futuristic Watch 596, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Women'}
product: Compact Jeans 525, attributes: {'material': 'Wool', 'style': 'Casual', 'gender': 'Women'}
product: Minimalist Jacket 597, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Women'}
product: Sleek Watch 960, attributes: {'material': 'Cotton', 'style': 'Casual', 'gender': 'Men'}
product: Premium Jeans 786, attributes: {'material': 'Cotton', 'style': 'Casual', 'gender': 'Men'}
product: Essential Dress 166, attributes: {'material': 'Leather', 'style': 'Formal', 'gender': 'Women'}
product: Vintage Watch 906, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Women'}
product: Heavy-duty Watch 326, attributes: {'material': 'Wool', 'style': 'Streetwear', 'gender': 'Men'}
product: Industrial Jeans 593, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Women'}
product: Futuristic Sneakers 867, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Women'}
product: Futuristic Sneakers 413, attributes: {'material': 'Wool', 'style': 'Casual', 'gender': 'Unisex'}
product: Handcrafted T-Shirt 649, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Women'}
product: Minimalist T-Shirt 849, attributes: {'material': 'Cotton', 'style': 'Formal', 'gender': 'Men'}
product: Futuristic Jacket 317, attributes: {'material': 'Leather', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Minimalist Dress 481, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Women'}
product: Minimalist Jeans 379, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Women'}
product: Artisan T-Shirt 347, attributes: {'material': 'Wool', 'style': 'Athleisure', 'gender': 'Men'}
product: Premium Watch 922, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Unisex'}
product: Essential Watch 970, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Women'}
product: Artisan Watch 754, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Unisex'}
product: Organic Jacket 475, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Unisex'}
product: Retro Jeans 323, attributes: {'material': 'Leather', 'style': 'Formal', 'gender': 'Men'}
product: Sleek Sneakers 683, attributes: {'material': 'Denim', 'style': 'Streetwear', 'gender': 'Men'}
product: Vintage Jeans 429, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Women'}
product: Smart T-Shirt 696, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Unisex'}
product: Heavy-duty Sneakers 914, attributes: {'material': 'Polyester', 'style': 'Athleisure', 'gender': 'Women'}
product: Compact Jeans 834, attributes: {'material': 'Wool', 'style': 'Casual', 'gender': 'Men'}
product: Compact Jeans 416, attributes: {'material': 'Wool', 'style': 'Athleisure', 'gender': 'Women'}
product: Premium Dress 140, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Men'}
product: Minimalist Sneakers 562, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Men'}
product: Heavy-duty Jacket 980, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Men'}
product: Artisan Jeans 770, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Futuristic Jeans 806, attributes: {'material': 'Cotton', 'style': 'Casual', 'gender': 'Unisex'}
product: Ultra-light Watch 854, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Men'}
product: Compact Jeans 633, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Women'}
product: Ultra-light Sneakers 398, attributes: {'material': 'Wool', 'style': 'Formal', 'gender': 'Unisex'}
product: Heavy-duty Jacket 628, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Artisan Jeans 575, attributes: {'material': 'Polyester', 'style': 'Streetwear', 'gender': 'Unisex'}
product: Artisan Sneakers 872, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Men'}
product: Premium Sneakers 104, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Men'}
product: Eco-friendly Sneakers 257, attributes: {'material': 'Cotton', 'style': 'Formal', 'gender': 'Unisex'}
product: Ultra-light Dress 944, attributes: {'material': 'Denim', 'style': 'Athleisure', 'gender': 'Unisex'}
product: Ultra-light Jacket 255, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Men'}
product: Modern Jacket 520, attributes: {'material': 'Cotton', 'style': 'Formal', 'gender': 'Men'}
product: Artisan T-Shirt 529, attributes: {'material': 'Denim', 'style': 'Casual', 'gender': 'Women'}
product: Vintage Sneakers 963, attributes: {'material': 'Cotton', 'style': 'Streetwear', 'gender': 'Women'}
product: Retro Dress 273, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Women'}
product: Nordic Sneakers 896, attributes: {'material': 'Polyester', 'style': 'Formal', 'gender': 'Women'}
product: Nordic Jacket 399, attributes: {'material': 'Leather', 'style': 'Streetwear', 'gender': 'Women'}
product: Compact Jacket 777, attributes: {'material': 'Wool', 'style': 'Casual', 'gender': 'Unisex'}
product: Industrial Jacket 993, attributes: {'material': 'Leather', 'style': 'Formal', 'gender': 'Unisex'}
product: Artisan Jeans 172, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Men'}
product: Ergonomic Watch 433, attributes: {'material': 'Wool', 'style': 'Streetwear', 'gender': 'Men'}
product: Artisan Jacket 324, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Men'}
product: Essential Sneakers 522, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Men'}
product: Ultra-light Sneakers 921, attributes: {'material': 'Leather', 'style': 'Formal', 'gender': 'Women'}
product: Ergonomic Watch 615, attributes: {'material': 'Denim', 'style': 'Streetwear', 'gender': 'Women'}
product: Smart T-Shirt 642, attributes: {'material': 'Cotton', 'style': 'Athleisure', 'gender': 'Men'}
product: Minimalist Jeans 740, attributes: {'material': 'Wool', 'style': 'Casual', 'gender': 'Men'}
product: Essential Jacket 998, attributes: {'material': 'Denim', 'style': 'Formal', 'gender': 'Women'}
product: Premium Sneakers 626, attributes: {'material': 'Cotton', 'style': 'Casual', 'gender': 'Women'}
product: Compact Jacket 479, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Men'}
product: Sleek Watch 199, attributes: {'material': 'Polyester', 'style': 'Casual', 'gender': 'Unisex'}
product: Retro Sneakers 826, attributes: {'material': 'Leather', 'style': 'Athleisure', 'gender': 'Women'}
product: Retro Jeans 399, attributes: {'material': 'Leather', 'style': 'Streetwear', 'gender': 'Men'}
product: Artisan Dress 369, attributes: {'material': 'Leather', 'style': 'Casual', 'gender': 'Unisex'}
